,Date,rel_low,rel_high,rel_open,rel_close,rel_volume,time,low,high,open,close,volume
7532,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:45:00,8769.45,8817.12,8816.11,8783.59,177.77410117
7533,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:50:00,8775.24,8794.68,8785.0,8787.28,48.9642635
7534,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:55:00,8786.35,8799.06,8787.25,8795.22,107.35719574
7535,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:00:00,8795.21,8810.0,8795.22,8805.4,35.92469177
7536,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:05:00,8801.29,8816.63,8805.39,8814.85,36.76237249
7537,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:10:00,8814.85,8826.84,8814.85,8818.85,23.37636095
7538,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:15:00,8816.68,8831.77,8818.85,8818.72,25.54186823
7539,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:20:00,8786.15,8819.51,8816.76,8795.56,59.7211583
7540,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:25:00,8786.48,8800.0,8795.57,8796.87,24.13769261
7541,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:30:00,8752.54,8796.86,8796.86,8771.87,84.27946362
7542,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:35:00,8752.08,8772.71,8771.63,8769.79,59.11490911
7543,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:40:00,8769.49,8793.27,8770.43,8784.26,29.67568395
7544,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:45:00,8750.0,8790.65,8784.25,8768.28,80.06395938
7545,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:50:00,8739.99,8767.02,8767.0,8740.0,55.79634177
7546,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,14:55:00,8739.99,8756.36,8740.0,8742.41,41.12533003
7547,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:00:00,8705.53,8749.42,8742.41,8749.42,119.22252904
7548,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:05:00,8746.01,8807.07,8751.67,8791.96,85.71547268
7549,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:10:00,8775.42,8795.55,8791.94,8795.55,37.778101
7550,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:15:00,8787.0,8805.58,8795.55,8787.0,28.59156757
7551,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:20:00,8765.07,8787.01,8787.01,8767.73,55.98550138
7552,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:25:00,8766.09,8797.77,8767.56,8795.01,23.62306283
